ID,Name,Full Name,Alter Egos,Publisher,Alignment,Gender,Race,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat
382,Kevin 11,Kevin Ethan Levin,No alter egos found.,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,25,7,12,14,100,40
383,Kick-Ass,Dave Lizewski,No alter egos found.,Icon Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,38,10,23,35,22,56
384,Kid Flash,Wallace Rudolph West,No alter egos found.,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,25,4,92,42,20,30
385,Kid Flash II,Bartholomew Allen II,"Flash IV, Impulse",Flash IV,good,Male,null,- // 0 cm,- lb // 0 kg,null,47,null,null,null,null
386,Killer Croc,Waylon Jones,No alter egos found.,DC Comics,bad,Male,Metahuman,8'0 // 244 cm,790 lb // 356 kg,19,53,35,90,53,60
387,Killer Frost,Caitlin Snow,No alter egos found.,DC Comics,bad,Female,Human,- // 0 cm,- lb // 0 kg,88,10,13,35,59,30
388,Kilowog,,No alter egos found.,DC Comics,good,Male,Bolovaxian,7'8 // 234 cm,720 lb // 324 kg,81,90,53,42,100,80
389,King Kong,King Kong,No alter egos found.,,good,Male,Animal,100'0 // 30.5 meters,"20000000 lb // 9,000 tons",56,100,71,75,47,75
390,King Shark,Nanaue,No alter egos found.,DC Comics,bad,Male,Animal,- // 0 cm,- lb // 0 kg,50,88,50,90,86,40
391,Kingpin,Wilson Grant Fisk,No alter egos found.,Marvel Comics,bad,Male,Human,6'7 // 201 cm,450 lb // 203 kg,75,18,25,40,13,70
392,Klaw,Ulysses Klaw,No alter egos found.,Marvel Comics,bad,Male,Human,6'2 // 188 cm,216 lb // 97 kg,63,38,33,100,62,60
393,Kool-Aid Man,,No alter egos found.,null,good,Male,null,- // 0 cm,- lb // 0 kg,25,18,8,10,9,14
394,Kraven II,Alyosha Kravinoff,No alter egos found.,Marvel Comics,bad,Male,Human,6'3 // 191 cm,220 lb // 99 kg,50,34,23,28,43,85
395,Kraven the Hunter,Sergei Kravinoff,No alter egos found.,Marvel Comics,bad,Male,Human,6'0 // 183 cm,235 lb // 106 kg,63,32,35,42,25,85
396,Krypto,Krypto the Superdog,No alter egos found.,DC Comics,good,Male,Kryptonian,0'25 // 64 cm,40 lb // 18 kg,9,80,100,90,82,40
397,Kyle Rayner,Kyle Rayner,No alter egos found.,DC Comics,good,Male,Human,5'11 // 180 cm,175 lb // 79 kg,69,90,50,60,100,60
398,Kylo Ren,Ben Solo,No alter egos found.,George Lucas,bad,Male,Human,- // 0 cm,- lb // 0 kg,56,44,33,30,100,70
399,Lady Bullseye,,No alter egos found.,Marvel Comics,bad,Female,null,- // 0 cm,- lb // 0 kg,null,63,null,null,null,null
400,Lady Deathstrike,Yuriko Oyama,No alter egos found.,Marvel Comics,bad,Female,Cyborg,5'9 // 175 cm,128 lb // 58 kg,63,28,42,85,48,90
401,Leader,Samuel Sterns,No alter egos found.,Marvel Comics,bad,Male,null,5'10 // 178 cm,140 lb // 63 kg,100,10,12,14,59,42
402,Leech,,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,25,5,12,14,62,14
403,Legion,David Haller,No alter egos found.,Marvel Comics,good,Male,Mutant,5'9 // 175 cm,130 lb // 59 kg,50,100,42,30,100,75
404,Leonardo,Leonardo,No alter egos found.,IDW Publishing,good,Male,Mutant,- // 0 cm,- lb // 0 kg,75,16,50,65,59,80
405,Lex Luthor,Lex Luthor,No alter egos found.,DC Comics,bad,Male,Human,6'2' // 188 cm,210 lb // 95 kg,100,53,25,65,68,70
406,Light Lass,Ayla Ranzz,No alter egos found.,DC Comics,good,Female,null,5'5 // 165 cm,120 lb // 54 kg,38,10,35,28,67,42
407,Lightning Lad,Garth Ranzz,No alter egos found.,DC Comics,good,Male,null,5'1 // 155 cm,145 lb // 65 kg,38,10,23,28,60,42
408,Lightning Lord,Mekt Ranzz,No alter egos found.,DC Comics,bad,Male,null,6'3 // 191 cm,210 lb // 95 kg,44,10,23,42,66,42
409,Living Brain,,No alter egos found.,Marvel Comics,bad,-,null,6'6 // 198 cm,800 lb // 360 kg,75,53,35,56,31,28
410,Living Tribunal,,No alter egos found.,Marvel Comics,neutral,-,Cosmic Entity,- // 0 cm,- lb // 0 kg,100,100,100,100,100,30
411,Liz Sherman,Elizabeth Anne Sherman,No alter egos found.,Dark Horse Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
412,Lizard,Curtis Connors,No alter egos found.,Marvel Comics,bad,Male,Human,6'8 // 203 cm,510 lb // 230 kg,50,51,27,70,63,56
413,Lobo,Lobo,No alter egos found.,DC Comics,neutral,Male,Czarnian,7'6 // 229 cm,640 lb // 288 kg,94,100,54,100,100,85
414,Loki,Loki Laufeyson,No alter egos found.,Marvel Comics,bad,Male,Asgardian,6'4 // 193 cm,525 lb // 236 kg,88,63,46,85,100,60
415,Longshot,,No alter egos found.,Marvel Comics,good,Male,Human,6'2 // 188 cm,80 lb // 36 kg,50,10,27,10,71,70
416,Luke Cage,Luke Cage,Power Man,Power Man,good,Male,Human,6'6 // 198 cm,425 lb // 191 kg,50,63,29,95,44,70
417,Luke Campbell,Luke Campbell,No alter egos found.,NBC - Heroes,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
418,Luke Skywalker,Luke Skywalker,No alter egos found.,George Lucas,good,Male,Human,5'6 // 168 cm,170 lb // 77 kg,69,38,42,25,100,100
419,Luna,Luna Maximoff,No alter egos found.,Marvel Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,38,6,83,14,53,14
420,Lyja,Lyja,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
421,Mach-IV,Abner Jenkins,No alter egos found.,Marvel Comics,bad,Male,null,5'11 // 180 cm,175 lb // 79 kg,75,36,60,84,60,56
422,Machine Man,"X-51, Aaron Stack",No alter egos found.,Marvel Comics,good,-,null,6' // 183 cm,850 lb // 383 kg,63,32,35,84,51,64
423,Magneto,Erik Magnus Lensherr,No alter egos found.,Marvel Comics,bad,Male,Mutant,6'2 // 188 cm,190 lb // 86 kg,88,80,27,84,91,80
424,Magog,David Reid,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,50,48,23,64,66,72
425,Magus,,No alter egos found.,Marvel Comics,bad,Male,null,6'0 // 183 cm,- lb // 0 kg,88,100,70,99,100,74
426,Man of Miracles,,No alter egos found.,Image Comics,-,-,God / Eternal,- // 0 cm,- lb // 0 kg,100,100,100,100,100,100
427,Man-Bat,Robert Kirkland Langstrom,No alter egos found.,DC Comics,neutral,Male,Human,- // 0 cm,- lb // 0 kg,38,18,50,70,33,30
428,Man-Thing,Dr. Theodore Sallis,No alter egos found.,Marvel Comics,good,Male,null,7'0 // 213 cm,500 lb // 225 kg,50,32,8,100,100,40
429,Man-Wolf,John Jameson,No alter egos found.,Marvel Comics,good,Male,null,6'2' // 188 cm,200 lb // 90 kg,63,44,35,42,45,70
430,Mandarin,Khan,No alter egos found.,Marvel Comics,bad,Male,Human,6'2 // 188 cm,215 lb // 97 kg,100,28,23,28,100,95
431,Mantis,,No alter egos found.,Marvel Comics,good,Female,Human-Kree,5'6 // 168 cm,115 lb // 52 kg,63,8,33,80,100,80
432,Martian Manhunter,J'onn J'onzz,No alter egos found.,DC Comics,good,Male,Martian,6'7 // 201 cm,300 lb // 135 kg,100,95,92,100,100,85
433,Marvel Girl,Rachel Anne Summers,No alter egos found.,Marvel Comics,good,Female,null,5'7' // 170 cm,125 lb // 56 kg,63,85,47,42,100,80
434,Master Brood,Currently Colin Wood,No alter egos found.,Team Epic TV,good,Male,null,6'0 // 183 cm,180 lb // 81 kg,null,null,null,null,null,null
435,Master Chief,John-117,No alter egos found.,Microsoft,good,Male,Human / Altered,7' // 213 cm,- lb // 0 kg,75,73,35,80,69,100
436,Match,Kent Connor,No alter egos found.,DC Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,75,95,83,85,100,70
437,Matt Parkman,Matthew Parkman,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,63,10,12,14,59,56
438,Maverick,Christopher Bradley,No alter egos found.,Marvel Comics,good,Male,null,6'4 // 193 cm,244 lb // 110 kg,63,10,12,42,60,85
439,Maxima,,No alter egos found.,DC Comics,bad,Female,null,5'11 // 180 cm,160 lb // 72 kg,75,90,35,56,81,75
440,Maya Herrera,Maya Herrera,No alter egos found.,NBC - Heroes,good,Female,null,- // 0 cm,- lb // 0 kg,50,10,12,14,60,14
441,Medusa,Medusalith Amaquelin Boltagon,No alter egos found.,Marvel Comics,good,Female,Inhuman,5'11 // 180 cm,130 lb // 59 kg,75,34,35,70,37,56
442,Meltdown,Tabitha Smith,Boom-Boom,Boom-Boom,good,Female,null,5'5 // 165 cm,120 lb // 54 kg,38,10,12,42,62,64
443,Mephisto,,No alter egos found.,Marvel Comics,bad,Male,null,6'6 // 198 cm,310 lb // 140 kg,88,85,35,95,100,42
444,Mera,Mera,No alter egos found.,DC Comics,good,Female,Atlantean,5'9 // 175 cm,160 lb // 72 kg,56,62,79,60,92,80
445,Metallo,John Corben,No alter egos found.,DC Comics,bad,Male,Android,6'5 // 196 cm,200 lb // 90 kg,75,53,23,95,86,64
446,Metamorpho,Rex Mason,No alter egos found.,DC Comics,good,Male,null,6'1 // 185 cm,200 lb // 90 kg,null,82,null,null,null,null
447,Meteorite,,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
448,Metron,Metron,No alter egos found.,DC Comics,good,Male,null,6'1 // 185 cm,190 lb // 86 kg,88,10,47,56,100,28
449,Micah Sanders,Micah Sanders,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,63,8,12,14,57,14
450,Michelangelo,,No alter egos found.,IDW Publishing,good,Male,Mutant,- // 0 cm,- lb // 0 kg,63,14,50,65,59,75
451,Micro Lad,Gim Allon,No alter egos found.,DC Comics,good,Male,null,6' // 183 cm,170 lb // 77 kg,38,28,27,28,44,32
452,Mimic,Calvin Montgomery Rankin,No alter egos found.,Marvel Comics,good,Male,null,6'2 // 188 cm,225 lb // 101 kg,63,67,47,56,79,42
453,Minna Murray,Wilhelmina Harker,No alter egos found.,Wildstorm,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
454,Misfit,Charlotte Gage-Radcliffe,Batgirl V,Batgirl V,good,Female,null,- // 0 cm,- lb // 0 kg,63,32,23,80,91,42
455,Miss Martian,M'gann M'orzz,No alter egos found.,DC Comics,good,Female,null,5'10 // 178 cm,135 lb // 61 kg,63,85,58,100,100,45
456,Mister Fantastic,Reed Richards,No alter egos found.,Marvel Comics,good,Male,Human / Radiation,6'1 // 185 cm,180 lb // 81 kg,100,10,18,70,33,64
457,Mister Freeze,Victor Fries,No alter egos found.,DC Comics,bad,Male,Human,6'0 // 183 cm,190 lb // 86 kg,75,32,12,70,37,28
458,Mister Knife,J'son,No alter egos found.,Marvel Comics,bad,Male,Spartoi,- // 0 cm,- lb // 0 kg,75,10,17,30,13,65
459,Mister Mxyzptlk,Mr. Mxyzptlk,No alter egos found.,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,100,85,100,100,100,50
460,Mister Sinister,Nathaniel Essex,No alter egos found.,Marvel Comics,bad,Male,Human / Altered,6'5 // 196 cm,285 lb // 128 kg,100,48,46,90,100,50
461,Mister Zsasz,Victor Zsasz,No alter egos found.,DC Comics,bad,Male,Human,- // 0 cm,- lb // 0 kg,88,22,33,28,18,85
462,Mockingbird,Barbara Morse,No alter egos found.,Marvel Comics,good,Female,Human,5'9 // 175 cm,135 lb // 61 kg,75,31,38,20,48,95
463,MODOK,George Tarleton,No alter egos found.,Marvel Comics,bad,Male,Cyborg,12'0 // 366 cm,750 lb // 338 kg,100,18,25,25,79,15
464,Mogo,Mogo,No alter egos found.,DC Comics,good,Male,Planet,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
465,Mohinder Suresh,Mohinder Suresh,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
466,Moloch,Edgar William Jacobi,No alter egos found.,DC Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
467,Molten Man,Mark Raxton,No alter egos found.,Marvel Comics,bad,Male,null,6'5 // 196 cm,550 lb // 248 kg,50,73,23,84,53,56
468,Monarch,Nathaniel Christopher Adam,No alter egos found.,DC Comics,good,Male,null,6'4 // 193 cm,200 lb // 90 kg,null,100,null,null,null,null
469,Monica Dawson,Monica Dawson,No alter egos found.,NBC - Heroes,good,Female,null,- // 0 cm,- lb // 0 kg,50,10,35,14,48,90
470,Moon Knight,Marc Spector,No alter egos found.,Marvel Comics,good,Male,Human,6'2 // 188 cm,225 lb // 101 kg,50,36,23,42,28,75
471,Moonstone,Karla Sofen,No alter egos found.,Marvel Comics,bad,Female,null,5'11 // 180 cm,130 lb // 59 kg,56,67,47,52,74,80
472,Morlun,Morlun,No alter egos found.,Marvel Comics,bad,Male,null,6'2 // 188 cm,175 lb // 79 kg,63,60,35,42,74,56
473,Morph,Kevin Sydney,No alter egos found.,Marvel Comics,good,Male,null,5'10 // 178 cm,175 lb // 79 kg,null,40,null,null,null,null
474,Moses Magnum,Moses Magnum,No alter egos found.,Marvel Comics,bad,Male,null,5'9 // 175 cm,159 lb // 72 kg,75,28,12,42,55,56
475,Mr Immortal,Craig Hollis,No alter egos found.,Marvel Comics,good,Male,Mutant,6'2 // 188 cm,156 lb // 70 kg,50,10,8,100,69,30
476,Mr Incredible,Robert Parr,No alter egos found.,Dark Horse Comics,good,Male,Human,6'7 // 201 cm,350 lb // 158 kg,50,83,33,95,29,40
477,Ms Marvel II,Sharon Ventura,She-Thing,She-Thing,good,Female,null,5'8 // 173 cm,135 lb // 61 kg,38,63,23,84,11,56
478,Multiple Man,James Arthur,No alter egos found.,Marvel Comics,good,Male,null,5'11' // 180 cm,155 lb // 70 kg,63,11,23,70,28,62
479,Mysterio,Quentin Beck,No alter egos found.,Marvel Comics,bad,Male,Human,5'11 // 180 cm,175 lb // 79 kg,81,10,17,40,82,70
480,Mystique,Raven Darkholme,No alter egos found.,Marvel Comics,bad,Female,Mutant,5'10 // 178 cm,120 lb // 54 kg,75,12,23,64,64,74
481,Namor,Namor McKenzie,No alter egos found.,Marvel Comics,good,Male,Atlantean,6'2 // 188 cm,278 lb // 125 kg,69,95,58,70,73,85
482,Namor,,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
483,Namora,Aquaria Nautica Neptunia,No alter egos found.,Marvel Comics,good,Female,null,5'11 // 180 cm,189 lb // 85 kg,50,85,42,42,48,64
484,Namorita,Namorita Prentiss,No alter egos found.,Marvel Comics,good,Female,null,5'6 // 168 cm,225 lb // 101 kg,50,72,47,70,37,70
485,Naruto Uzumaki,,No alter egos found.,Shueisha,good,Male,Human,5'6 // 168 cm,121 lb // 54 kg,50,80,32,80,100,100
486,Nathan Petrelli,Nathan Petrelli,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
487,Nebula,,No alter egos found.,Marvel Comics,bad,Female,Luphomoid,6'1 // 185 cm,185 lb // 83 kg,63,52,13,50,42,60
488,Negasonic Teenage Warhead,Ellie Phimister,No alter egos found.,Marvel Comics,good,Female,Mutant,- // 0 cm,- lb // 0 kg,50,7,8,10,45,35
489,Nick Fury,Nicholas Joseph Fury,No alter egos found.,Marvel Comics,good,Male,Human,6'1 // 185 cm,221 lb // 99 kg,75,11,23,42,25,100
490,Nightcrawler,Kurt Wagner,No alter egos found.,Marvel Comics,good,Male,null,5'9' // 175 cm,195 lb // 88 kg,50,10,47,14,76,80
491,Nightwing,Dick Grayson,"Batman II, Robin",Batman II,good,Male,Human,5'10 // 178 cm,175 lb // 79 kg,88,11,33,28,36,100
492,Niki Sanders,Nicole Sanders,No alter egos found.,NBC - Heroes,good,Female,null,- // 0 cm,- lb // 0 kg,63,52,35,28,37,56
493,Nina Theroux,,No alter egos found.,SyFy,good,Female,Alpha,- // 0 cm,- lb // 0 kg,63,5,8,10,68,20
494,Nite Owl II,Daniel Dreiberg,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,45,null,null,null,null
495,Northstar,Jean-Paul Beaubier,No alter egos found.,Marvel Comics,good,Male,null,5'11 // 180 cm,185 lb // 83 kg,50,18,83,56,65,70
496,Nova,Richard Rider,No alter egos found.,Marvel Comics,good,Male,Human,6'1 // 185 cm,190 lb // 86 kg,100,85,75,100,100,80
497,Nova,Frankie Raye,No alter egos found.,Marvel Comics,good,Female,Human / Cosmic,5'4 // 163 cm,130 lb // 59 kg,63,60,100,100,100,35
498,Odin,Odin Borson,No alter egos found.,Marvel Comics,good,Male,God / Eternal,6'9 // 206 cm,650 lb // 293 kg,100,83,67,95,100,90
499,Offspring,Luke O'Brian,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,50,10,35,99,100,56
500,Omega Red,Arkady Gregorivich,No alter egos found.,Marvel Comics,bad,Male,null,6'11 // 211 cm,425 lb // 191 kg,null,61,null,null,null,null
501,Omniscient,Omniscient is the closest English word that compares to his alien tongue.,No alter egos found.,Team Epic TV,good,Male,null,5'11 // 180 cm,145 lb // 65 kg,null,null,null,null,null,null
502,One Punch Man,Saitama,No alter egos found.,Shueisha,good,Male,Human,5'9 // 175 cm,154 lb // 69 kg,38,100,83,95,55,50
503,One-Above-All,,No alter egos found.,Marvel Comics,neutral,-,Cosmic Entity,- // 0 cm,- lb // 0 kg,100,100,100,100,100,100
504,Onslaught,Onslaught,No alter egos found.,Marvel Comics,bad,Male,Mutant,10'0 // 305 cm,900 lb // 405 kg,88,100,33,100,100,55
505,Oracle,Barbara Gordon,Batgirl,Batgirl,good,Female,Human,5'10 // 178 cm,132 lb // 59 kg,75,11,23,28,19,76
506,Osiris,Amon Tomaz,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,75,85,60,95,65,42
507,Overtkill,Nicholas Rocca,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
508,Ozymandias,Adrian Veidt,No alter egos found.,DC Comics,bad,Male,Human,- // 0 cm,- lb // 0 kg,100,18,33,20,49,95
509,Parademon,,No alter egos found.,DC Comics,bad,-,Parademon,- // 0 cm,- lb // 0 kg,9,28,17,50,53,25
510,Paul Blart,Paul Blart,No alter egos found.,Sony Pictures,good,Male,Human,5'7 // 170 cm,260 lb // 117 kg,8,11,21,50,7,5
511,Penance,,No alter egos found.,Marvel Comics,good,-,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
512,Penance I,,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
513,Penance II,Robert Baldwin,Speedball,Speedball,good,Male,null,6' // 183 cm,197 lb // 89 kg,null,20,null,null,null,null
514,Penguin,Oswald Chesterfield Cobblepot,No alter egos found.,DC Comics,bad,Male,Human,5'2 // 157 cm,175 lb // 79 kg,75,10,12,28,30,45
515,Phantom,Christopher Walker,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,48,null,null,null,null
516,Phantom Girl,Tinya Wazzo,No alter egos found.,DC Comics,good,Female,null,5'6 // 168 cm,120 lb // 54 kg,38,10,23,28,53,42
517,Phoenix,Jean Grey,"Jean Grey, White Phoenix of The Crown",Jean Grey,good,Female,Mutant,5'6 // 168 cm,115 lb // 52 kg,100,100,83,100,100,80
518,Plantman,Samuel Smithers,No alter egos found.,Marvel Comics,bad,Male,Mutant,6'0 // 183 cm,193 lb // 87 kg,63,60,25,55,61,25
519,Plastic Lad,Luke O'Brian,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
520,Plastic Man,Patrick O'Brian,No alter egos found.,DC Comics,good,Male,Human,6'1 // 185 cm,178 lb // 80 kg,50,63,23,100,100,56
521,Plastique,Bette Sans Souci,No alter egos found.,DC Comics,bad,Female,null,5'6 // 168 cm,123 lb // 55 kg,50,10,23,28,60,42
522,Poison Ivy,Pamela Isley,No alter egos found.,DC Comics,bad,Female,Human,5'6 // 168 cm,110 lb // 50 kg,81,14,21,40,100,40
523,Polaris,Lorna Dane,No alter egos found.,Marvel Comics,good,Female,Mutant,5'7 // 170 cm,115 lb // 52 kg,63,73,42,50,100,45
524,Power Girl,Kara Zor-L,No alter egos found.,DC Comics,good,Female,Kryptonian,5'11 // 180 cm,180 lb // 81 kg,94,100,100,100,100,75
525,Power Man,Luke Cage,Luke Cage,Luke Cage,good,Male,Mutant,- // 0 cm,- lb // 0 kg,null,82,null,null,null,null
526,Predator,Yautja,No alter egos found.,Dark Horse Comics,bad,Male,Yautja,7'0 // 213 cm,520 lb // 234 kg,63,30,25,85,100,90
527,Professor X,Charles Francis Xavier,No alter egos found.,Marvel Comics,good,Male,Mutant,6' // 183 cm,190 lb // 86 kg,100,8,12,14,100,32
528,Professor Zoom,Eobard Thawne,No alter egos found.,DC Comics,bad,Male,Human,5'11 // 180 cm,179 lb // 81 kg,94,10,100,20,83,20
529,Psylocke,Elizabeth Braddock,No alter egos found.,Marvel Comics,good,Female,Mutant,5'11 // 180 cm,155 lb // 70 kg,63,33,25,40,100,90
530,Punisher,Frank Castle,No alter egos found.,Marvel Comics,good,Male,Human,6'0' // 183 cm,200 lb // 90 kg,69,16,21,45,42,100
531,Purple Man,Zebediah Killgrave,No alter egos found.,Marvel Comics,bad,Male,Human,5'11 // 180 cm,165 lb // 74 kg,56,10,8,30,92,10
532,Pyro,St. John Allerdyce,No alter egos found.,Marvel Comics,bad,Male,null,5'10 // 178 cm,150 lb // 68 kg,38,10,12,14,54,28
533,Q,Q,No alter egos found.,Star Trek,-,Male,God / Eternal,- // 0 cm,- lb // 0 kg,100,12,17,100,100,40
534,Quantum,,No alter egos found.,HarperCollins,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
535,Question,Charles Victor Szasz,No alter egos found.,DC Comics,good,Male,Human,6'2 // 188 cm,185 lb // 83 kg,81,14,27,35,20,80
536,Quicksilver,Pietro Django Maximoff,No alter egos found.,Marvel Comics,good,Male,Mutant,6'0 // 183 cm,175 lb // 79 kg,63,28,100,60,81,56
537,Quill,Maxwell Jordan,No alter egos found.,Marvel Comics,good,Male,null,5'4 // 163 cm,124 lb // 56 kg,38,10,12,14,23,14
538,Ra's Al Ghul,Ra's Al Ghul,No alter egos found.,DC Comics,bad,Male,Human,6'4 // 193 cm,215 lb // 97 kg,100,28,32,42,27,100
539,Rachel Pirzad,,No alter egos found.,SyFy,good,Female,Alpha,- // 0 cm,- lb // 0 kg,63,4,8,10,52,10
540,Rambo,John Rambo,No alter egos found.,null,good,Male,Human,5'10 // 178 cm,185 lb // 83 kg,63,14,25,30,30,100
541,Raphael,,No alter egos found.,IDW Publishing,good,Male,Mutant,- // 0 cm,- lb // 0 kg,63,17,50,65,59,80
542,Raven,Rachel Roth,No alter egos found.,DC Comics,neutral,Female,Human,5'5 // 165 cm,110 lb // 50 kg,50,10,29,70,84,40
543,Ray,Ray Terrill,No alter egos found.,DC Comics,good,Male,Human,5'10 // 178 cm,155 lb // 70 kg,50,10,92,100,100,20
544,Razor-Fist II,Douglas Scott,No alter egos found.,Marvel Comics,bad,Male,null,6'3 // 191 cm,260 lb // 117 kg,null,null,null,null,null,null
545,Red Arrow,Roy Harper,No alter egos found.,DC Comics,good,Male,Human,5'11 // 180 cm,185 lb // 83 kg,63,16,25,20,23,80
546,Red Hood,Jason Todd,Robin II,Robin II,neutral,Male,Human,6'0 // 183 cm,180 lb // 81 kg,75,12,23,28,35,95
547,Red Hulk,Thaddeus E. Ross,No alter egos found.,Marvel Comics,neutral,Male,Human / Radiation,7'0 // 213 cm,1400 lb // 630 kg,50,100,47,85,82,75
548,Red Mist,Chris Genovese,No alter egos found.,Icon Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,25,10,23,14,20,56
549,Red Robin,Tim Drake,Robin III,Robin III,good,Male,Human,5'5 // 165 cm,125 lb // 56 kg,81,11,27,32,29,80
550,Red Skull,Johann Shmidt,No alter egos found.,Marvel Comics,bad,Male,null,6'2 // 188 cm,240 lb // 108 kg,75,10,12,14,19,80
551,Red Tornado,John Smith,No alter egos found.,DC Comics,good,Male,Android,6'1 // 185 cm,325 lb // 146 kg,75,38,67,60,100,40
552,Redeemer II,Phil Timper,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
553,Redeemer III,Eddie Frank,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
554,Renata Soliz,,No alter egos found.,HarperCollins,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
555,Rey,,No alter egos found.,George Lucas,good,Female,Human,5'57 // 297 cm,- lb // 0 kg,63,8,21,10,87,35
556,Rhino,Aleksei Mikhailovich Sytsevich,No alter egos found.,Marvel Comics,bad,Male,Human / Radiation,6'5 // 196 cm,710 lb // 320 kg,25,80,43,90,36,85
557,Rick Flag,Richard Rogers Flag,No alter egos found.,DC Comics,bad,Male,null,6'1 // 185 cm,189 lb // 85 kg,88,11,23,28,19,95
558,Riddler,Edward Nigma,No alter egos found.,DC Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,100,10,12,14,10,14
559,Rip Hunter,Richard Hunter,No alter egos found.,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,100,8,8,10,100,25
560,Ripcord,Miranda Leevald,No alter egos found.,Marvel Comics,good,Female,null,5'11 // 180 cm,160 lb // 72 kg,null,null,null,null,null,null
561,Robin,Dick Grayson,"Batman II, Nightwing",Batman II,good,Male,Human,5'10 // 178 cm,175 lb // 79 kg,88,11,27,28,32,85
562,Robin II,Jason Todd,Red Hood,Red Hood,good,Male,Human,6'0 // 183 cm,225 lb // 101 kg,75,11,27,28,28,85
563,Robin III,Tim Drake,Red Robin,Red Robin,good,Male,Human,5'5 // 165 cm,125 lb // 56 kg,81,11,27,28,29,85
564,Robin V,Damian Wayne,No alter egos found.,DC Comics,good,Male,Human,4'6 // 137 cm,84 lb // 38 kg,69,8,33,16,29,65
565,Robin VI,Carrie Kelley,No alter egos found.,DC Comics,neutral,Female,Human,- // 0 cm,- lb // 0 kg,50,8,25,20,17,70
566,Rocket Raccoon,Rocket Raccoon,No alter egos found.,Marvel Comics,good,Male,Animal,4'0 // 122 cm,55 lb // 25 kg,50,5,23,28,28,64
567,Rogue,Anna Marie,No alter egos found.,Marvel Comics,good,Female,null,5'8 // 173 cm,120 lb // 54 kg,75,10,12,28,80,80
568,Ronin,Clint Barton,"Goliath, Hawkeye",Goliath,good,Male,Human,6'3 // 191 cm,230 lb // 104 kg,56,12,21,10,13,80
569,Rorschach,Walter Joseph Kovacs,No alter egos found.,DC Comics,good,Male,Human,5'6 // 168 cm,140 lb // 63 kg,75,10,29,20,23,80
570,Sabretooth,Victor Creed,No alter egos found.,Marvel Comics,bad,Male,Mutant,6'6 // 198 cm,380 lb // 171 kg,56,48,38,90,50,100
571,Sage,Tessa,No alter egos found.,Marvel Comics,good,Female,null,5'7' // 170 cm,135 lb // 61 kg,75,10,12,14,28,56
572,Sandman,William Baker,No alter egos found.,Marvel Comics,neutral,Male,Human,6'1 // 185 cm,450 lb // 203 kg,44,75,46,90,100,60
